Session_Duration,Page_Views,Purchase_Amount,Bounce_Rate
3.23,11.0,418.64,88.87
23.6,,299.39,26.23
35.77,2.0,291.79,38.25
53.43,11.0,428.63,21.35
30.42,18.0,284.6,70.93
54.16,1.0,351.37,16.78
35.15,6.0,441.37,26.46
38.79,6.0,354.19,97.15
49.92,19.0,487.75,59.75
29.19,14.0,452.73,32.74
13.93,3.0,37.92,23.32
16.29,16.0,397.08,64.99
13.32,15.0,461.53,7.89
28.79,5.0,66.88,6.09
58.21,1.0,174.67,21.58
38.84,8.0,297.31,7.12
17.15,1.0,494.01,77.94
13.58,17.0,10.73,27.44
49.81,14.0,250.63,36.23
52.78,4.0,136.88,4.17
21.94,11.0,249.02,23.06
51.91,,412.56,8.84
8.55,2.0,13.11,39.45
50.23,17.0,443.19,49.38
26.68,9.0,207.02,40.0
41.12,10.0,267.27,13.22
54.37,,305.11,20.12
35.74,6.0,53.83,23.42
51.34,6.0,274.05,2.16
8.8,19.0,269.26,71.26
7.33,17.0,419.32,78.59
19.01,4.0,44.12,19.56
45.28,13.0,251.32,92.15
58.55,5.0,29.66,85.91
34.89,9.0,435.23,59.79
20.14,8.0,290.15,20.89
7.35,10.0,94.13,25.75
9.66,3.0,375.51,28.44
32.42,14.0,242.34,2.25
12.18,5.0,56.35,63.51
50.33,19.0,213.59,8.64
44.07,8.0,270.16,2.75
44.79,6.0,386.86,41.08
8.64,,182.59,0.64
46.09,1.0,25.55,4.61
15.64,7.0,46.03,99.49
27.87,10.0,174.21,73.72
49.9,9.0,432.46,38.35
12.38,16.0,135.42,59.89
6.07,14.0,84.62,39.32
4.9,18.0,173.52,32.76
58.68,10.0,68.88,90.86
1.8,13.0,127.11,40.33
29.14,3.0,121.21,41.89
12.3,12.0,492.44,68.64
16.98,18.0,491.57,86.01
54.41,1.0,172.94,5.89
38.7,11.0,315.34,48.7
35.17,4.0,169.53,67.31
43.7,18.0,439.5,41.68
39.44,1.0,27.79,83.14
45.9,8.0,171.79,21.8
17.8,15.0,113.17,9.3
56.04,10.0,413.14,89.2
21.5,6.0,126.94,33.56
15.56,9.0,101.36,5.81
12.3,,215.87,6.53
29.23,13.0,201.31,91.68
42.48,8.0,387.71,28.19
8.42,10.0,155.35,79.63
13.59,13.0,438.15,30.37
34.37,4.0,276.0,36.44
19.7,1.0,292.74,92.0
19.92,18.0,376.04,5.0
19.22,2.0,418.56,14.2
58.9,6.0,140.72,3.93
22.4,18.0,420.71,12.11
15.24,13.0,66.6,44.34
56.31,18.0,434.56,5.48
57.79,,328.84,39.92
32.28,2.0,73.49,41.85
28.3,13.0,460.36,99.62
44.05,13.0,334.18,15.51
43.05,16.0,402.05,70.38
42.01,19.0,284.51,95.55
6.66,14.0,360.0,52.89
53.79,19.0,173.53,44.51
24.44,13.0,368.22,33.83
36.15,6.0,354.37,58.31
26.98,4.0,142.26,99.66
54.16,1.0,293.86,23.61
32.02,19.0,106.16,98.44
35.58,14.0,126.39,62.08
55.62,19.0,52.54,48.88
3.59,7.0,303.8,58.08
23.44,1.0,170.93,86.64
56.24,1.0,240.2,50.2
24.04,1.0,90.07,51.24
17.68,5.0,482.72,59.04
13.64,,65.5,15.76
31.64,2.0,469.23,2.06
22.27,7.0,355.98,55.42
18.22,5.0,257.87,65.29
20.14,18.0,431.54,17.59
26.99,1.0,62.53,95.55
27.03,,166.06,71.41
17.05,4.0,114.93,60.36
19.38,6.0,273.88,68.32
9.53,5.0,413.09,68.58
1.19,13.0,391.57,89.18
31.11,17.0,236.38,49.1
51.36,13.0,148.77,74.58
2.65,,198.02,81.18
3.5,14.0,497.6,39.97
21.71,12.0,496.6,46.63
55.12,7.0,333.78,53.24
32.87,2.0,44.47,97.42
1.66,17.0,409.8,21.06
27.76,1.0,239.11,8.1
56.83,19.0,51.09,15.09
5.04,9.0,254.84,51.66
5.34,15.0,302.82,41.29
3.46,,90.2,2.24
44.0,1.0,331.06,0.42
29.7,4.0,155.29,36.07
28.93,,220.98,75.52
22.44,19.0,414.61,15.23
14.89,5.0,325.8,23.57
22.9,1.0,477.19,71.05
31.19,19.0,347.58,22.31
11.74,7.0,255.38,79.06
44.0,3.0,293.75,32.74
43.56,12.0,15.36,22.31
7.58,16.0,376.84,41.89
19.4,2.0,194.65,87.93
10.08,5.0,238.43,89.52
15.7,2.0,155.14,12.99
45.13,10.0,483.02,53.25
37.69,18.0,106.14,31.96
1.7,5.0,434.4,42.89
58.41,9.0,116.71,61.86
33.36,4.0,440.45,4.09
17.88,17.0,453.07,14.31
40.25,4.0,454.3,8.74
10.76,9.0,54.52,51.79
46.85,11.0,423.95,14.36
19.21,3.0,102.86,7.3
4.27,3.0,27.38,48.97
10.08,19.0,309.0,92.14
39.71,,275.34,11.45
54.98,10.0,426.51,94.09
39.43,11.0,423.05,99.82
30.65,18.0,193.7,18.19
48.51,2.0,82.73,15.11
3.14,14.0,105.7,81.55
14.48,9.0,38.19,21.67
48.17,14.0,140.2,52.62
52.75,1.0,46.61,72.11
55.45,4.0,467.55,71.14
50.21,10.0,74.65,77.34
33.19,14.0,66.68,27.45
29.61,19.0,58.61,7.51
7.93,,358.9,53.22
56.85,16.0,183.02,57.0
31.73,12.0,144.79,50.09
37.37,14.0,133.08,36.68
40.83,16.0,341.3,47.97
39.4,10.0,395.12,11.83
6.57,17.0,14.63,24.87
33.57,2.0,256.8,57.3
24.49,,14.76,85.78
1.21,14.0,433.14,18.7
56.87,17.0,479.07,47.14
39.69,4.0,5.74,84.95
32.32,16.0,145.38,75.88
9.9,12.0,245.9,26.41
4.76,5.0,57.64,85.77
11.12,8.0,105.41,67.98
8.2,14.0,203.69,53.18
24.64,7.0,50.89,22.88
24.89,19.0,476.98,12.26
52.95,14.0,319.66,6.91
43.24,18.0,373.92,25.7
5.2,9.0,360.01,12.67
46.37,12.0,168.18,50.93
29.41,6.0,113.84,43.39
1.4,,444.01,79.18
22.22,17.0,488.74,92.41
14.15,1.0,48.11,17.51
16.8,2.0,27.0,98.43
8.96,6.0,197.89,81.53
42.18,8.0,329.57,32.91
20.01,12.0,98.46,26.6
10.82,4.0,285.73,82.3
51.77,14.0,5.15,96.55
51.16,5.0,395.67,60.01
37.47,10.0,98.52,3.72
11.44,12.0,362.65,41.59
31.03,8.0,211.78,60.37
25.55,15.0,285.89,53.07
46.57,19.0,74.22,19.03
6.38,6.0,341.44,2.55
44.28,6.0,188.19,38.01
33.07,9.0,238.77,73.14
43.52,5.0,349.59,36.63
34.99,,90.82,63.99
45.97,17.0,260.62,67.41
44.12,14.0,241.81,49.1
34.12,11.0,259.14,49.07
49.8,19.0,288.01,3.3
2.56,18.0,361.86,33.46
9.47,10.0,374.54,52.56
45.06,4.0,132.2,35.04
49.72,16.0,371.57,62.48
11.45,13.0,310.51,23.32
46.95,14.0,306.11,61.94
28.83,5.0,8.37,67.39
9.76,8.0,398.85,85.74
50.93,8.0,431.08,92.3
27.15,,368.72,21.77
16.62,4.0,493.32,93.78
44.97,1.0,34.68,37.57
33.56,18.0,321.73,49.25
23.64,14.0,93.15,49.73
3.14,17.0,319.26,9.43
26.84,15.0,186.56,60.98
53.04,,428.75,1.82
56.36,3.0,179.38,53.87
23.76,,38.0,31.71
51.27,1.0,465.03,57.4
29.04,,302.11,22.55
42.61,19.0,434.88,62.3
41.9,18.0,254.22,98.76
28.25,11.0,363.09,26.93
8.39,9.0,106.92,90.73
6.61,13.0,312.06,7.53
51.04,16.0,114.87,26.79
57.5,3.0,168.54,85.72
30.77,12.0,18.6,48.36
12.11,3.0,168.94,8.48
30.32,2.0,453.45,34.51
24.63,7.0,187.49,26.76
24.33,6.0,261.55,41.72
9.83,2.0,91.22,82.34
57.34,13.0,223.59,87.56
59.01,6.0,202.62,71.17
54.96,15.0,364.48,80.04
3.96,17.0,414.71,65.34
39.2,4.0,198.62,65.84
6.73,19.0,113.87,81.21
24.11,,237.4,6.82
17.24,6.0,450.82,10.71
50.41,4.0,299.53,78.41
23.78,16.0,37.95,74.48
10.12,4.0,257.25,16.54
35.36,18.0,346.29,73.7
23.06,15.0,293.7,69.63
44.46,14.0,352.36,25.57
12.64,13.0,225.07,55.84
25.18,19.0,340.35,67.1
36.35,18.0,232.63,67.0
53.92,13.0,449.9,98.72
36.6,1.0,313.45,97.86
54.38,15.0,446.6,94.51
37.72,18.0,8.03,43.94
23.75,18.0,484.91,38.86
4.41,5.0,479.06,33.93
11.46,10.0,11.44,54.59
51.26,1.0,91.62,91.58
13.24,18.0,34.23,10.6
58.06,6.0,381.7,82.3
40.44,17.0,300.85,17.82
51.78,16.0,358.88,79.64
48.48,,475.63,49.93
1.49,10.0,308.65,73.28
47.51,2.0,194.04,39.33
55.37,2.0,303.94,77.73
39.92,5.0,80.1,93.57
27.47,19.0,490.45,40.89
56.89,10.0,347.42,63.52
15.43,,49.11,28.45
34.68,4.0,344.96,93.41
16.92,2.0,24.0,91.69
56.45,13.0,80.62,9.88
41.79,14.0,443.6,51.98
46.3,8.0,410.48,3.18
35.1,18.0,487.31,86.66
4.98,12.0,194.5,61.69
5.26,11.0,11.01,61.56
55.31,15.0,48.76,30.85
26.88,2.0,482.63,85.36
21.85,16.0,427.41,69.03
6.65,16.0,270.84,20.42
26.4,12.0,315.47,34.67
58.57,16.0,395.05,7.22
31.69,4.0,261.09,9.03
24.48,4.0,393.5,76.55
4.2,10.0,267.81,37.88
11.11,16.0,432.72,92.41
21.74,3.0,283.96,77.35
50.92,11.0,158.61,10.52
53.34,1.0,106.41,54.57
37.78,11.0,317.29,77.26
8.72,14.0,314.37,89.63
51.8,14.0,398.73,6.21
56.57,9.0,288.15,93.12
22.96,1.0,159.35,51.09
52.51,16.0,442.09,60.01
57.09,,466.83,44.52
48.08,2.0,409.26,58.98
59.34,14.0,463.07,96.89
3.64,7.0,178.38,53.95
17.62,,282.14,23.18
59.63,7.0,75.96,54.43
55.75,,151.53,31.82
23.25,16.0,483.56,62.26
13.81,,271.92,7.98
42.71,12.0,416.55,12.18
16.48,14.0,436.63,5.97
53.84,3.0,311.57,55.15
18.03,8.0,7.82,16.68
42.43,2.0,411.15,33.86
43.46,9.0,207.35,9.73
22.3,10.0,12.31,91.25
19.19,4.0,333.47,79.21
52.62,19.0,185.55,55.91
21.7,19.0,226.47,7.6
8.65,3.0,13.35,2.43
35.65,10.0,467.25,20.97
6.45,12.0,438.08,90.65
39.22,2.0,312.87,34.61
17.9,,221.25,37.55
50.15,,75.65,71.65
49.33,14.0,447.88,55.42
25.54,,348.48,3.76
33.78,,200.89,99.31
34.03,4.0,297.82,23.97
29.62,9.0,126.44,32.26
24.61,5.0,192.81,61.7
57.68,1.0,312.82,5.33
11.63,7.0,136.3,36.08
59.17,4.0,301.64,43.62
33.41,11.0,81.32,52.63
33.83,6.0,115.52,24.67
22.6,17.0,141.0,51.46
18.12,13.0,70.28,58.92
43.19,6.0,290.74,33.27
21.16,5.0,469.77,51.06
42.53,13.0,191.5,46.89
31.45,16.0,173.8,55.56
17.32,10.0,331.79,35.22
53.17,12.0,76.49,24.95
55.22,15.0,116.2,99.08
58.14,7.0,385.81,16.88
43.75,8.0,76.79,1.64
39.57,18.0,202.71,22.23
27.77,2.0,162.72,64.47
35.5,16.0,30.79,67.25
4.05,11.0,253.4,88.96
4.02,2.0,295.11,74.02
7.43,5.0,211.01,92.48
10.73,4.0,435.47,88.74
22.99,8.0,269.44,47.1
47.77,14.0,60.55,82.66
29.39,12.0,399.28,13.61
37.24,6.0,305.57,82.3
2.6,15.0,231.63,94.41
49.37,4.0,88.23,68.02
43.11,3.0,227.01,51.59
23.73,,29.14,25.93
17.54,16.0,104.68,16.13
45.19,6.0,371.85,21.65
53.28,18.0,428.59,7.34
36.37,18.0,279.69,99.49
50.72,19.0,288.91,2.25
44.03,10.0,372.42,76.98
35.87,19.0,34.82,32.08
10.27,13.0,60.59,24.59
54.45,9.0,391.38,18.14
33.03,17.0,236.03,67.04
19.45,6.0,10.26,97.21
41.21,4.0,377.09,70.49
40.51,17.0,29.91,68.31
37.36,8.0,318.92,11.43
23.66,6.0,409.03,96.28
40.88,3.0,223.89,6.5
29.61,7.0,344.11,36.9
28.65,9.0,435.54,31.26
14.32,17.0,230.01,88.33
55.07,,170.52,1.67
3.77,2.0,147.04,72.96
50.37,9.0,484.42,57.96
32.52,17.0,170.63,25.97
4.32,18.0,439.41,57.92
9.67,10.0,263.31,62.82
6.38,7.0,76.2,65.96
57.73,2.0,56.49,99.61
35.26,18.0,450.93,47.1
14.12,17.0,212.99,79.69
23.63,14.0,4.89,84.87
38.52,7.0,33.33,91.35
32.81,17.0,274.46,21.08
7.57,18.0,98.07,40.35
21.76,2.0,10.66,64.36
14.62,9.0,325.36,32.35
16.29,16.0,73.19,34.18
57.87,1.0,132.2,97.22
26.25,12.0,106.96,80.93
38.35,13.0,260.53,59.97
31.69,14.0,171.71,69.01
7.13,14.0,117.38,91.08
3.25,11.0,244.91,82.09
40.31,5.0,441.46,93.92
31.22,6.0,211.39,68.73
32.71,1.0,204.93,89.16
2.27,14.0,395.06,13.69
23.88,1.0,163.38,59.73
41.35,,122.32,78.7
45.99,1.0,350.34,28.61
59.01,4.0,404.38,56.71
8.45,,222.62,15.85
39.95,11.0,440.51,70.38
20.18,,378.21,59.17
35.83,4.0,74.92,33.52
1.05,,328.05,38.38
34.72,6.0,213.27,31.95
26.49,12.0,302.49,25.49
10.87,4.0,352.48,30.52
29.03,,475.42,50.01
24.71,3.0,414.73,52.34
2.45,1.0,117.88,17.08
13.83,13.0,462.98,39.08
7.77,13.0,212.09,79.78
39.64,12.0,41.92,9.78
9.3,14.0,333.21,12.03
2.17,4.0,238.17,58.63
14.41,14.0,191.42,77.25
17.12,9.0,18.6,25.97
17.54,18.0,5.06,4.64
14.06,1.0,310.29,77.86
19.93,9.0,296.06,6.94
14.39,18.0,209.08,96.55
42.44,19.0,170.19,95.09
59.85,7.0,89.83,5.56
15.38,18.0,125.8,27.86
49.09,3.0,305.52,65.44
56.64,3.0,26.74,68.76
28.52,13.0,399.04,57.2
50.37,18.0,259.12,4.64
5.79,9.0,393.84,47.76
43.08,19.0,245.82,49.38
49.88,16.0,326.7,79.79
34.86,3.0,269.8,42.68
46.26,4.0,379.19,65.35
53.22,6.0,150.41,7.61
37.04,10.0,165.85,66.45
37.08,8.0,124.81,28.36
16.05,19.0,176.67,8.93
52.86,6.0,112.88,60.95
54.46,2.0,223.69,1.77
36.51,10.0,416.34,3.36
3.14,10.0,280.58,39.12
10.28,18.0,69.79,81.96
26.11,2.0,173.73,25.49
37.28,11.0,37.34,31.74
31.38,8.0,151.6,37.46
29.31,19.0,211.95,47.63
5.97,13.0,246.96,67.1
10.18,12.0,96.6,85.65
45.92,15.0,285.31,93.85
4.74,6.0,296.9,61.08
46.18,19.0,190.08,26.56
34.26,5.0,255.08,65.47
21.0,2.0,407.97,61.67
57.96,18.0,296.89,19.06
15.5,18.0,39.83,0.29
29.05,10.0,389.78,44.61
13.75,5.0,400.2,15.37
41.22,1.0,56.39,27.28
39.59,13.0,10.75,74.48
35.32,18.0,338.93,25.76
12.73,4.0,291.1,37.41
47.42,5.0,160.54,38.1
55.19,2.0,139.23,6.79
51.43,8.0,187.99,84.87
1.14,,229.04,83.82
9.15,,123.39,69.71
15.49,17.0,38.23,17.22
39.82,12.0,84.75,18.78
40.03,,302.76,20.76
27.33,6.0,55.38,30.31
21.72,19.0,302.7,94.72
28.76,8.0,119.01,70.53
58.33,17.0,459.69,84.64
27.53,16.0,343.68,5.3
3.84,,275.81,28.53
51.54,17.0,351.07,17.25
27.13,1.0,127.88,92.19
3.48,5.0,184.27,47.17
30.67,8.0,208.81,45.29
31.0,2.0,441.24,2.73
36.4,8.0,418.02,88.62
10.12,13.0,339.48,44.24
32.19,2.0,446.02,34.65
22.25,10.0,441.96,90.14
11.34,4.0,12.38,91.85
57.85,8.0,37.26,97.75
35.03,6.0,408.0,27.76
45.95,14.0,406.93,27.17
12.94,12.0,176.38,58.1
31.88,12.0,151.22,84.01
14.19,2.0,378.91,23.35
41.37,19.0,221.63,60.72
44.64,15.0,461.62,77.55
51.34,16.0,299.99,48.4
18.53,3.0,463.93,34.94
36.59,14.0,462.32,39.12
51.11,16.0,255.39,4.12
38.51,7.0,319.65,73.81
52.59,,228.55,24.31
23.42,17.0,344.96,88.81
31.97,6.0,196.56,59.16
26.52,14.0,256.12,41.28
22.46,7.0,347.8,87.39
4.47,3.0,401.7,95.17
12.73,6.0,22.61,86.51
24.85,8.0,258.39,70.69
3.3,12.0,8.83,87.48
11.98,17.0,419.29,37.09
36.39,19.0,271.12,55.67
3.37,17.0,486.48,23.87
31.18,19.0,27.32,55.29
8.36,15.0,102.75,24.39
42.58,18.0,446.97,89.66
59.26,,487.09,47.07
33.8,17.0,449.11,41.4
22.0,13.0,355.77,91.33
1.55,13.0,460.02,28.27
21.99,10.0,19.03,44.08
19.84,17.0,349.54,84.81
16.62,5.0,64.78,28.86
1.67,13.0,264.32,95.53
30.92,,131.52,67.67
36.29,14.0,150.69,29.02
34.66,,409.36,91.69
41.06,10.0,218.63,45.44
48.18,19.0,196.89,25.93
2.23,3.0,253.81,19.73
48.34,16.0,441.48,40.04
8.66,18.0,269.39,38.39
8.0,6.0,398.23,63.54
8.86,4.0,431.07,90.36
3.77,1.0,99.95,31.51
24.06,9.0,357.19,38.28
20.66,10.0,330.3,20.01
25.99,,119.58,53.39
42.19,9.0,136.49,26.15
10.67,15.0,441.26,85.59
9.59,4.0,155.44,85.1
51.19,18.0,82.36,19.35
49.41,12.0,145.71,45.65
45.02,7.0,290.65,60.06
57.84,13.0,234.68,68.88
53.71,6.0,145.1,74.48
38.98,11.0,78.53,13.5
11.87,19.0,403.3,98.42
34.4,19.0,10.44,98.26
30.69,13.0,343.13,98.22
6.15,4.0,386.87,20.87
55.28,5.0,71.19,25.93
32.95,16.0,286.32,5.03
57.12,15.0,409.4,77.85
57.63,16.0,148.83,68.77
45.81,17.0,231.74,50.4
32.81,,433.08,59.2
29.81,14.0,95.9,87.23
20.28,12.0,442.73,67.73
54.52,12.0,352.53,64.53
24.65,3.0,361.58,72.95
10.48,6.0,461.45,54.65
44.06,8.0,383.32,75.03
38.59,7.0,196.33,65.7
5.33,13.0,209.54,40.74
32.37,16.0,473.2,9.68
57.8,4.0,227.09,17.15
5.15,6.0,247.37,53.09
7.48,5.0,118.35,6.24
56.8,13.0,236.86,2.98
54.68,7.0,172.07,26.21
50.39,19.0,279.83,47.4
5.9,15.0,218.18,28.04
18.86,9.0,438.63,56.7
15.44,8.0,233.26,14.86
17.46,3.0,324.13,10.44
7.21,12.0,154.51,52.99
36.62,7.0,126.63,41.61
24.08,15.0,389.82,19.36
47.07,10.0,478.07,85.25
46.0,15.0,290.46,33.77
52.73,9.0,455.09,98.08
5.06,16.0,148.47,62.21
35.9,7.0,334.12,82.19
19.57,1.0,176.3,65.58
51.96,8.0,241.68,55.73
34.84,2.0,307.89,57.37
51.03,13.0,188.75,35.92
4.21,2.0,470.32,85.04
57.01,7.0,83.75,42.0
28.55,15.0,447.04,29.29
45.68,13.0,114.22,65.58
9.85,1.0,21.6,91.7
23.21,18.0,215.29,72.0
58.75,2.0,216.78,78.92
27.57,7.0,437.46,29.16
9.39,18.0,251.55,5.7
35.48,,417.22,32.62
29.64,16.0,416.64,16.86
38.92,5.0,282.13,27.95
45.03,14.0,152.7,7.14
14.22,,7.02,76.65
22.87,3.0,64.49,45.61
11.4,7.0,462.42,12.7
53.47,16.0,384.72,1.6
3.73,8.0,73.7,80.51
18.08,7.0,360.92,55.06
38.3,16.0,182.42,17.09
47.97,13.0,67.4,98.18
26.96,17.0,155.76,37.59
44.78,10.0,205.32,45.43
49.31,11.0,401.84,84.52
25.16,5.0,19.22,15.83
21.77,9.0,146.17,51.34
37.44,19.0,173.81,32.5
44.45,1.0,72.69,23.91
56.48,13.0,383.87,76.18
46.19,6.0,0.4,5.33
32.19,10.0,182.94,65.85
26.7,3.0,331.44,75.99
59.88,12.0,47.63,82.13
48.49,,333.78,94.05
16.15,15.0,291.76,61.12
17.46,8.0,271.27,53.99
5.93,15.0,482.83,26.58
36.57,18.0,26.41,77.4
52.79,9.0,395.77,36.22
32.45,17.0,430.56,83.04
44.41,13.0,155.41,26.06
49.67,1.0,136.8,69.38
20.55,16.0,414.43,38.17
33.6,8.0,208.38,4.91
1.56,8.0,470.2,74.92
4.09,15.0,277.89,54.2
32.27,6.0,489.23,54.74
19.85,18.0,84.52,67.55
43.07,16.0,263.59,55.55
56.3,2.0,247.72,17.68
53.19,,468.97,26.88
48.94,11.0,84.44,56.51
6.74,3.0,194.31,36.74
6.63,2.0,341.81,38.05
31.22,,253.16,58.05
25.28,18.0,91.88,56.87
49.0,16.0,417.78,54.77
33.47,11.0,342.79,81.95
47.98,7.0,413.77,69.76
30.69,1.0,238.09,17.69
2.01,12.0,465.72,21.52
55.13,,185.57,57.08
38.88,10.0,301.34,47.43
25.24,19.0,271.4,46.22
31.57,13.0,263.7,17.98
52.36,19.0,189.51,95.8
56.24,19.0,90.23,77.24
35.66,15.0,363.74,36.37
28.86,10.0,285.94,17.45
54.14,13.0,249.67,0.22
13.3,2.0,221.99,66.2
52.53,,419.4,11.47
16.0,13.0,90.11,35.81
8.19,12.0,271.05,64.35
23.5,6.0,67.11,84.77
37.07,4.0,55.75,27.11
50.99,15.0,44.8,16.57
43.39,14.0,480.42,9.05
26.6,12.0,93.25,75.41
29.28,15.0,244.02,3.82
50.44,5.0,456.74,61.05
28.46,16.0,427.17,98.14
30.68,16.0,208.39,69.97
37.81,10.0,120.57,13.23
57.25,12.0,46.38,77.63
41.44,16.0,300.85,77.71
55.86,3.0,210.89,56.83
35.97,,378.45,95.57
49.36,5.0,472.02,20.65
11.73,,234.67,39.42
5.42,2.0,227.52,87.66
10.57,15.0,426.37,57.5
26.27,,70.26,62.08
10.57,7.0,470.63,3.02
13.12,9.0,392.84,80.58
4.23,13.0,379.82,5.94
19.88,4.0,135.17,24.99
3.72,,11.83,69.48
55.69,8.0,425.42,30.59
52.28,9.0,446.99,3.26
30.87,5.0,194.46,38.83
39.34,19.0,178.49,46.78
52.5,1.0,73.69,66.71
35.48,11.0,32.61,87.92
16.32,14.0,207.57,32.48
56.24,9.0,87.79,55.63
12.11,16.0,241.19,67.47
50.24,10.0,420.6,36.16
34.01,9.0,287.22,99.72
54.32,12.0,103.69,52.78
17.97,6.0,225.51,82.75
53.79,1.0,215.98,98.58
7.21,,366.4,91.28
47.97,7.0,382.16,99.22
42.1,5.0,135.64,43.85
44.76,16.0,32.22,59.32
15.33,3.0,108.39,38.34
39.57,,94.56,1.46
53.47,13.0,406.52,14.04
7.22,5.0,278.52,33.58
6.27,15.0,151.96,2.26
51.45,18.0,416.38,2.16
47.85,3.0,73.06,47.88
24.91,8.0,395.86,29.88
1.68,11.0,163.46,69.19
25.04,3.0,159.48,79.95
7.19,6.0,416.0,95.04
52.87,3.0,240.44,48.31
53.87,12.0,116.84,78.71
49.55,19.0,468.01,26.03
20.11,10.0,417.0,100.0
33.28,19.0,10.02,43.12
17.44,,7.46,21.09
14.87,7.0,263.41,22.42
8.96,14.0,401.51,82.94
54.72,17.0,213.46,13.07
36.76,1.0,376.9,5.78
8.6,,72.08,59.35
8.94,13.0,110.5,1.04
8.74,5.0,158.42,18.35
54.82,10.0,478.23,97.69
18.44,9.0,31.1,2.38
17.77,7.0,472.07,59.63
20.55,3.0,328.35,49.15
34.47,10.0,450.94,5.43
58.97,1.0,407.79,26.17
14.59,17.0,325.09,97.18
14.15,16.0,44.49,71.03
55.6,3.0,79.72,3.08
16.36,8.0,137.48,95.4
30.34,6.0,333.24,71.45
30.36,9.0,420.56,51.31
57.91,5.0,92.55,34.41
4.31,11.0,388.07,8.02
11.56,12.0,288.62,40.29
19.97,6.0,300.94,51.18
6.81,17.0,461.05,49.14
8.91,8.0,97.16,54.27
41.98,8.0,238.92,43.16
59.46,1.0,344.68,7.38
35.51,5.0,491.21,57.09
13.18,5.0,73.25,90.56
26.48,2.0,75.58,26.27
24.59,19.0,455.57,67.85
38.99,19.0,296.77,59.5
8.58,18.0,348.79,12.07
1.91,4.0,165.36,9.25
50.75,6.0,20.5,77.8
8.25,1.0,90.11,41.32
4.31,11.0,418.61,55.69
28.5,13.0,160.76,75.96
29.57,19.0,183.07,88.89
48.33,12.0,484.19,67.17
35.65,12.0,431.05,84.84
10.25,6.0,5.95,52.1
44.14,15.0,224.31,62.45
46.51,5.0,48.92,46.29
48.19,14.0,38.06,89.21
38.76,14.0,143.04,45.42
39.86,6.0,485.21,2.45
29.22,15.0,172.2,16.64
22.5,3.0,286.19,2.38
55.44,10.0,352.92,95.79
7.49,19.0,347.94,61.46
40.72,14.0,149.01,43.97
23.03,14.0,139.99,12.36
5.52,6.0,228.11,13.04
38.19,2.0,211.5,68.04
6.07,1.0,186.15,89.58
51.9,12.0,297.76,7.26
10.93,10.0,99.33,35.86
4.74,6.0,136.2,36.53
40.64,18.0,129.25,71.55
34.42,13.0,285.99,11.21
40.96,3.0,114.52,57.18
25.7,17.0,129.56,48.8
11.36,1.0,227.74,75.84
54.64,7.0,216.37,98.1
59.54,16.0,193.66,24.24
58.04,6.0,41.6,45.85
41.42,9.0,160.21,21.25
30.82,19.0,434.25,50.77
34.22,5.0,189.91,29.06
3.9,16.0,443.64,61.49
15.79,19.0,33.92,7.72
50.07,15.0,462.11,74.74
58.84,19.0,236.92,21.89
40.62,4.0,384.5,70.78
6.97,11.0,351.92,69.25
21.78,11.0,4.87,71.68
44.88,4.0,461.47,89.13
33.83,12.0,482.23,84.23
49.76,9.0,333.58,23.66
46.86,18.0,49.84,80.55
49.71,,304.38,1.36
3.0,9.0,400.02,47.31
52.77,10.0,238.79,28.11
40.26,11.0,408.3,72.96
36.74,10.0,266.87,72.84
29.67,2.0,440.28,44.49
28.13,11.0,91.46,21.27
56.63,8.0,271.22,41.8
6.37,15.0,8.2,38.18
53.5,11.0,401.22,7.36
42.74,4.0,479.91,54.03
18.29,7.0,387.18,2.64
58.18,12.0,213.37,92.43
53.85,9.0,90.87,67.02
1.2,3.0,81.2,6.03
57.61,8.0,147.43,12.61
17.78,15.0,62.31,63.35
13.94,10.0,372.67,9.37
27.3,14.0,259.81,17.47
21.46,2.0,169.97,28.04
43.81,19.0,120.02,81.64
29.8,13.0,0.09,74.22
50.47,2.0,199.05,40.52
21.5,10.0,279.21,26.93
46.99,3.0,381.01,94.04
28.78,13.0,148.58,74.09
22.44,7.0,325.98,23.48
11.79,5.0,49.35,84.89
42.55,3.0,318.81,58.36
48.05,6.0,38.48,14.93
30.87,1.0,335.3,24.85
6.45,13.0,367.55,85.68
36.76,17.0,37.87,4.35
40.87,14.0,462.31,60.9
25.92,19.0,194.96,56.93
39.28,5.0,181.77,61.68
55.22,17.0,488.13,4.38
12.52,1.0,163.53,99.17
23.13,18.0,342.74,13.43
5.82,15.0,272.71,37.12
50.59,10.0,445.97,54.19
48.86,4.0,138.3,28.18
33.81,11.0,289.77,9.64
50.84,19.0,381.68,58.2
55.78,10.0,58.02,70.12
6.68,19.0,196.69,10.11
28.97,17.0,278.04,29.82
16.28,18.0,44.36,27.82
35.47,14.0,22.63,86.39
28.96,19.0,134.83,26.29
24.89,14.0,475.49,22.22
35.92,8.0,319.91,87.02
47.05,,63.41,51.16
55.23,15.0,366.56,24.62
47.61,3.0,65.6,6.59
20.3,7.0,418.04,13.52
18.72,4.0,175.45,98.99
16.2,15.0,186.86,63.4
36.51,,128.77,44.58
49.37,14.0,412.6,55.07
34.36,,421.45,1.81
41.91,19.0,82.42,58.74
54.65,16.0,84.73,68.3
10.18,14.0,318.12,13.49
58.63,6.0,218.89,75.09
